,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
352,15.85,-97.0667,27.29,79,100,1.51,MX,1626832000
353,70.9821,25.9704,6.72,91,100,14.03,NO,1626832000
354,40.5982,-124.1573,25.66,68,90,4.02,US,1626832001
355,3.8667,11.5167,21.74,88,40,1.54,CM,1626831917
356,70.3705,31.1107,6.17,86,100,6.32,NO,1626832001
357,-21.15,55.2833,20.46,69,7,1.56,RE,1626832002
358,1.1667,108.9667,28.44,79,89,3.74,ID,1626832002
359,8.6011,124.4658,32.4,62,100,3.29,PH,1626832002
360,-6.2,36.4167,14.01,87,2,1.81,TZ,1626832003
361,-9.0122,-35.2225,23.57,82,4,3.93,BR,1626832003
362,64.2273,27.7285,10.03,71,0,3.6,FI,1626832004
363,16.8634,-99.8901,27.86,83,32,3.35,MX,1626831761
364,45.6169,-61.3485,19.97,97,40,0.0,CA,1626832004
365,11.2408,-74.199,31.03,62,40,3.09,CO,1626831712
366,60.1432,-45.2371,7.92,96,100,6.95,GL,1626832005
367,30.3,108.85,24.4,73,94,1.46,CN,1626832005
368,49.0333,104.0833,11.86,97,100,1.45,MN,1626832005
369,67.6803,53.1512,14.06,72,100,3.64,RU,1626832006
370,66.0,111.5,21.57,48,95,7.11,RU,1626832006
371,58.6978,81.4825,18.1,83,4,2.82,RU,1626832006
372,46.0833,127.4,28.85,67,13,3.22,CN,1626832007
373,61.3614,63.5842,17.59,88,100,1.93,RU,1626832007
374,40.4244,15.0809,22.08,70,0,2.11,IT,1626832007
375,58.2488,8.3778,14.94,82,7,1.54,NO,1626832008
376,-1.5233,-52.5817,23.61,90,12,1.58,BR,1626832008
377,-17.5667,-149.8667,28.85,76,0,9.52,PF,1626832009
378,30.5667,79.5667,21.77,93,100,0.24,IN,1626832009
379,53.4106,-2.9779,18.67,82,0,0.51,GB,1626831857
380,65.85,74.4859,19.93,57,37,8.09,RU,1626832009
381,20.15,92.9,27.63,85,83,5.67,MM,1626832010
382,58.831,6.0466,11.97,90,40,2.56,NO,1626832010
383,-3.5,29.95,14.71,64,1,1.93,BI,1626832010
384,7.4167,81.8167,27.39,64,96,1.95,LK,1626832011
385,-7.7136,-66.9764,21.28,59,0,1.25,BR,1626832011
386,25.7,100.1833,23.34,58,19,1.09,CN,1626832011
387,-22.9575,14.5053,11.72,93,0,3.09,NA,1626832012
388,37.7021,-121.9358,30.38,60,1,1.34,US,1626831963
389,29.1614,16.139,24.71,59,0,2.83,LY,1626832012
390,35.0231,110.9928,25.71,77,100,2.02,CN,1626832013
391,56.0552,60.9405,19.69,70,96,4.16,RU,1626832013
392,49.8802,15.0648,13.91,86,27,1.16,CZ,1626832014
393,51.9503,104.7355,18.15,86,100,1.23,RU,1626832014
394,34.8791,-76.9013,25.99,93,90,2.06,US,1626832014
395,17.65,83.2667,27.18,89,90,2.06,IN,1626832015
396,69.3,139.9,14.61,58,72,5.04,RU,1626832015
397,51.5697,14.3736,14.79,88,99,2.09,DE,1626832015
398,54.3663,77.2981,18.57,70,0,2.46,RU,1626832016
399,55.2834,-114.769,18.99,77,1,3.6,CA,1626832016
400,26.3544,127.8686,26.77,94,75,13.38,JP,1626832016
401,-36.7667,144.2833,9.24,78,9,2.24,AU,1626832017
402,43.2686,-7.5406,16.11,98,7,0.43,ES,1626832017
403,23.65,-100.65,23.99,51,95,5.06,MX,1626831855
404,-7.0032,111.3129,28.05,63,17,2.56,ID,1626832018
405,36.7507,-3.5179,26.56,40,0,0.51,ES,1626832018
406,18.6667,105.6667,27.28,79,100,1.7,VN,1626831943
407,36.6167,101.7667,21.62,51,100,0.99,CN,1626832019
408,3.761,98.4513,28.11,65,28,1.92,ID,1626832019
409,-2.5744,150.7967,29.14,67,96,1.58,PG,1626832020
410,40.1629,-8.3327,17.8,91,91,1.85,PT,1626832020
411,11.7833,75.4333,25.85,88,100,4.19,IN,1626832020
412,-32.5833,151.7833,13.81,51,100,5.06,AU,1626832021
413,-16.9833,-65.1333,15.97,65,21,1.18,BO,1626832021
414,-41.0667,145.9167,11.92,74,67,4.66,AU,1626832021
415,26.1842,127.7558,26.81,89,75,12.35,JP,1626832021
416,55.7503,38.0042,17.98,61,100,1.34,RU,1626832022
417,27.9167,96.1667,28.99,82,99,0.97,IN,1626832022
418,4.7912,-71.3354,23.96,85,10,1.41,CO,1626832023
419,54.7682,-101.865,22.45,50,100,2.75,CA,1626832023
420,38.4092,112.7333,19.47,92,100,1.1,CN,1626832023
421,-24.4694,-55.6945,13.77,50,100,0.73,PY,1626832024
422,63.7506,-68.5145,5.85,86,90,1.03,CA,1626832024
423,47.72,128.648,28.61,66,32,3.64,CN,1626832024
424,-8.8978,-35.1478,23.74,82,3,3.85,BR,1626832025
425,14.8818,103.4936,27.21,79,97,4.64,TH,1626832025
426,40.973,-117.7357,34.03,20,1,4.12,US,1626832025
427,6.4965,2.6036,25.9,83,71,3.78,BJ,1626832026
428,-6.6447,-51.995,22.98,49,0,0.57,BR,1626832026
